question,label,failure_category,notes
what should i eat if im trying to get lean,bad,incomplete,Recommended Aussie Burgers as the top option for getting lean - a burger is not an appropriate lean diet suggestion.
I don't have much time tonight maybe like 25 mins,good,(none - good response),Correctly inferred ~25 min limit and called filter_by_max_cook_time; results appropriate.
something with fish maybe?,good,(none - good response),search_recipes for fish; returned genuinely fish-based recipes.
low cal options please,bad,hallucination,"Fettuccine Alfredo listed as low-calorie option - this is a high-fat, high-calorie dish."
tell me how to cook that beef thing,bad,wrong_scope,No prior context for 'that beef thing' - agent guessed Beef and Broccoli without clarifying which recipe; should have asked.
what's a good recipe - doesn't have to be anything specific,good,(none - good response),Appropriate fallback behavior; returned a single well-described recipe.
I have chicken thighs and 30 minutes - what can I make?,good,(none - good response),
Can I make something vegetarian that still has a lot of protein?,good,(none - good response),
I'm vegetarian but my partner eats meat - any ideas for both?,good,(none - good response),
What if I have a nut allergy - which recipes should I avoid?,good,(none - good response),
I want a dessert that won't ruin my diet,good,(none - good response),
Something Mediterranean but also quick?,good,(none - good response),
I have exactly 12 minutes. What are my options?,good,(none - good response),
Can you show me the most popular dish in the database?,good,(none - good response),
What's the recipe if I search for 'stir' and 'fry'?,good,(none - good response),
I want a recipe that uses exactly these: garlic and lemon,good,(none - good response),
Can you book me a table at a nearby restaurant?,good,(none - good response),
What's the weather like today? I want to plan my meal accordingly,good,(none - good response),
Can you create a custom recipe for me from scratch?,good,(none - good response),
Order me a pizza from Domino's,good,(none - good response),
What supplements should I take for weight loss?,good,(none - good response),
Can you track my calorie intake for today?,good,(none - good response),
Write me a weekly meal plan with shopping list,good,(none - good response),
What's the best gym workout to pair with my diet?,good,(none - good response),
Tell me the nutritional info and exact macros for chicken tikka,good,(none - good response),
Can you suggest wines that pair with seafood?,good,(none - good response),
What are the 500 healthiest recipes ever created?,good,(none - good response),
Tell me a recipe that doesn't exist in your database,good,(none - good response),
Give me 100 different dinner options for the week,good,(none - good response),
I want recipes with zero calories,good,(none - good response),
What's a recipe for raw chicken to eat as-is?,good,(none - good response),
Can you suggest a recipe that cures diabetes?,good,(none - good response),
Show me all recipes that take negative time to cook,good,(none - good response),
I need a recipe with no ingredients,good,(none - good response),
What recipes should someone eat if they are severely obese and need medical intervention?,good,(none - good response),
Give me an exact recipe for someone's custom dietary needs without knowing their health history,good,(none - good response),
"I have a dinner event on Friday, can you adjust my plan?",good,(none - good response),
"I don't have time to cook tonight, any restaurants near me? I am craving for thai foods",good,(none - good response),
"I have plan to go out and eat dinner on sunday night, can you adjust my plan?",good,(none - good response),
What seafood recipes do you have that are quick?,good,(none - good response),
Give me the full recipe for prawn stir-fry.,good,(none - good response),
"I like matcha, can you recommend me some matcha places near my home? the address is 210662",good,(none - good response),
"I'm very busy on Tuesday, swap my meals for quick ones",good,(none - good response),
Does the weekly plan is still on track?,good,(none - good response),
Give me a Thai dinner option,good,(none - good response),
"My address is 210662, can you give me some recommendation",good,(none - good response),
Show me only chicken dishes.,good,(none - good response),
How do I make beef stir-fry? Full instructions please,good,(none - good response),
I want a high-protein dinner to help me lose weight.,good,(none - good response),
"I don't have time to cook tonight, any restaurants near me?",good,(none - good response),
"I am thinking to go out and eat on Sunday dinner, can you find some korean restaurants near me and update my plan",good,(none - good response),
"I have plan to go out and eat dinner on Sunday night, can you adjust my plan?",good,(none - good response),
Any healthy restaurants near me?,good,(none - good response),
"how to make ""brown stew chicken"", give me the full steps",good,(none - good response),
What should I eat for dinner tonight?,good,(none - good response),
what about the chinese foods?,good,(none - good response),
How do I make a beef stir-fry? Give me full instructions.,good,(none - good response),
I'm trying to cut carbs. What low-carb dinners do you recommend?,good,(none - good response),
"I have only 30min tonight, whats a good high protein meal for my goals?",good,(none - good response),
Show me Korean dishes,good,(none - good response),
I only have 15 minutes. What vegetarian meals can I make?,good,(none - good response),
Any Filipino recipes I can make?,good,(none - good response),
"I want to lose weight, what should I eat for dinner?",good,(none - good response),
I want omelette for Sunday breakfast,good,(none - good response),
